Model,Cited Reference Count,"Times Cited, All Databases",Publication Year
ResNet,24,9,2018
ResNet,29,0,2018
ResNet,32,0,2018
ResNet,16,21,2018
ResNet,12,9,2018
ResNet,19,7,2018
ResNet,27,0,2018
ResNet,40,17,2018
ResNet,38,1,2018
ResNet,31,64,2018
ResNet,24,7,2018
ResNet,28,2,2018
ResNet,17,4,2018
ResNet,20,6,2018
ResNet,30,3,2018
ResNet,42,69,2018
ResNet,3,1,2018
ResNet,33,1,2018
ResNet,33,0,2018
ResNet,15,1,2018
ResNet,15,0,2018
ResNet,25,2,2018
ResNet,13,12,2018
ResNet,19,0,2018
ResNet,7,0,2018
ResNet,35,4,2018
ResNet,23,0,2018
ResNet,17,0,2018
ResNet,26,2,2018
ResNet,27,2,2018
ResNet,18,0,2018
ResNet,23,3,2018
ResNet,20,1,2018
ResNet,25,0,2018
ResNet,22,4,2018
ResNet,9,0,2018
ResNet,15,0,2018
ResNet,27,10,2018
ResNet,28,1,2018
ResNet,10,9,2018
ResNet,18,24,2018
ResNet,23,45,2018
ResNet,25,5,2018
ResNet,22,49,2018
ResNet,13,0,2018
ResNet,14,3,2018
ResNet,25,0,2018
ResNet,22,0,2018
ResNet,30,0,2018
ResNet,19,0,2018
ResNet,12,0,2018
ResNet,16,0,2018
ResNet,7,0,2018
ResNet,21,5,2018
ResNet,15,0,2018
ResNet,33,6,2018
ResNet,17,3,2018
ResNet,18,2,2018
ResNet,13,0,2018
ResNet,26,2,2018
ResNet,34,0,2018
ResNet,27,7,2018
ResNet,23,4,2018
ResNet,44,8,2018
ResNet,22,1,2018
ResNet,17,2,2018
ResNet,18,5,2018
ResNet,28,13,2018
ResNet,20,2,2018
ResNet,18,2,2018
ResNet,13,2,2018
ResNet,13,0,2018
ResNet,12,0,2018
ResNet,20,0,2018
ResNet,11,0,2018
ResNet,26,0,2018
ResNet,17,5,2018
ResNet,48,19,2018
ResNet,5,7,2018
ResNet,8,0,2018
ResNet,37,1,2018
ResNet,31,11,2018
ResNet,36,253,2018
ResNet,18,22,2018
ResNet,21,0,2018
ResNet,18,0,2018
ResNet,28,0,2018
ResNet,22,4,2018
ResNet,17,29,2018
ResNet,18,8,2018
ResNet,39,46,2018
ResNet,22,0,2018
ResNet,33,8,2018
ResNet,26,4,2018
ResNet,25,3,2018
ResNet,22,9,2018
ResNet,21,0,2018
ResNet,13,2,2018
ResNet,9,10,2018
ResNet,31,19,2018
ResNet,14,3,2018
ResNet,28,15,2018
ResNet,34,14,2018
ResNet,28,3,2018
ResNet,27,0,2018
ResNet,13,9,2018
ResNet,15,11,2018
ResNet,48,10,2018
ResNet,18,1,2018
ResNet,15,1,2018
ResNet,11,0,2018
ResNet,18,4,2018
ResNet,19,2,2018
ResNet,7,3,2018
ResNet,13,2,2018
ResNet,13,5,2018
ResNet,29,1,2018
ResNet,20,9,2018
ResNet,13,2,2018
ResNet,8,2,2018
ResNet,21,68,2018
ResNet,10,4,2018
ResNet,23,0,2018
ResNet,19,8,2018
ResNet,54,20,2018
ResNet,22,7,2018
ResNet,13,7,2018
ResNet,18,2,2018
ResNet,18,14,2018
ResNet,30,29,2018
ResNet,28,1,2018
ResNet,19,8,2018
ResNet,38,5,2018
ResNet,31,1,2018
ResNet,19,6,2018
ResNet,17,0,2018
ResNet,31,6,2018
ResNet,27,2,2018
ResNet,37,133,2018
ResNet,52,353,2018
ResNet,61,12,2018
ResNet,38,9,2018
ResNet,32,21,2018
ResNet,39,12,2018
ResNet,54,14,2018
ResNet,39,69,2018
ResNet,69,7,2018
ResNet,62,21,2018
ResNet,48,110,2018
ResNet,30,697,2018
ResNet,60,94,2018
ResNet,38,85,2018
ResNet,53,11,2018
ResNet,30,28,2018
ResNet,38,33,2018
ResNet,57,135,2018
ResNet,29,97,2018
ResNet,26,25,2018
ResNet,15,3,2018
ResNet,16,2,2018
ResNet,15,20,2018
ResNet,18,3,2018
ResNet,28,0,2018
ResNet,8,1,2018
ResNet,23,7,2018
ResNet,14,11,2018
ResNet,11,57,2018
ResNet,9,1,2018
ResNet,43,2,2018
ResNet,40,4,2018
ResNet,6,4,2018
ResNet,24,2,2018
ResNet,10,2,2018
ResNet,7,0,2018
ResNet,13,1,2018
ResNet,29,1,2018
ResNet,35,23,2018
ResNet,14,4,2018
ResNet,22,6,2018
ResNet,21,1,2018
ResNet,41,0,2018
ResNet,26,8,2018
ResNet,30,0,2018
ResNet,19,1,2018
ResNet,37,23,2018
ResNet,27,3,2018
ResNet,28,3,2018
ResNet,19,1,2018
ResNet,23,6,2018
ResNet,22,7,2018
ResNet,36,0,2018
ResNet,8,0,2018
ResNet,26,9,2018
ResNet,18,27,2018
ResNet,18,14,2018
ResNet,9,3,2018
ResNet,17,54,2018
ResNet,20,3,2018
ResNet,50,16,2018
ResNet,32,2,2018
ResNet,26,6,2018
ResNet,19,2,2018
ResNet,29,9,2018
ResNet,24,806,2018
ResNet,43,29,2018
ResNet,29,11,2018
ResNet,6,8,2018
ResNet,25,25,2018
ResNet,23,7,2018
ResNet,14,0,2018
ResNet,29,6,2018
ResNet,30,3,2018
ResNet,28,0,2018
ResNet,12,12,2018
ResNet,12,1,2018
ResNet,12,7,2018
ResNet,4,5,2018
ResNet,4,3,2018
ResNet,11,8,2018
ResNet,7,0,2018
ResNet,28,3,2018
ResNet,11,1,2018
ResNet,27,0,2018
ResNet,21,0,2018
ResNet,25,0,2018
ResNet,90,153,2018
ResNet,44,17,2018
ResNet,22,43,2018
ResNet,29,18,2018
ResNet,40,36,2018
ResNet,66,14,2018
ResNet,16,2,2018
ResNet,49,3,2018
ResNet,24,3,2018
ResNet,20,0,2018
ResNet,26,6,2018
ResNet,17,27,2018
ResNet,26,0,2018
ResNet,15,6,2018
ResNet,22,9,2018
ResNet,15,0,2018
ResNet,23,1,2018
ResNet,14,0,2018
ResNet,14,1,2018
ResNet,19,5,2018
ResNet,29,30,2018
ResNet,47,34,2018
ResNet,19,2,2018
ResNet,18,4,2018
ResNet,45,21,2018
ResNet,7,1,2018
ResNet,7,1,2018
ResNet,16,1,2018
ResNet,20,14,2018
ResNet,28,14,2018
ResNet,22,2,2018
ResNet,21,10,2018
ResNet,94,18,2018
ResNet,20,20,2018
ResNet,24,31,2018
ResNet,18,22,2018
ResNet,33,8,2018
ResNet,12,83,2018
ResNet,17,0,2018
ResNet,17,4,2018
ResNet,48,58,2018
ResNet,17,13,2018
ResNet,10,4,2018
ResNet,16,3,2018
ResNet,41,87,2018
ResNet,26,0,2018
ResNet,23,4,2018
ResNet,19,2,2018
ResNet,43,98,2018
ResNet,14,1,2018
ResNet,15,7,2018
ResNet,22,2,2018
ResNet,37,7,2018
ResNet,41,24,2018
ResNet,24,8,2018
ResNet,19,5,2018
ResNet,43,67,2018
ResNet,17,11,2018
ResNet,45,3,2018
ResNet,16,4,2018
ResNet,20,2,2018
ResNet,18,5,2018
ResNet,22,12,2018
ResNet,19,3,2018
ResNet,18,33,2018
ResNet,44,17,2018
ResNet,9,5,2018
ResNet,30,0,2018
ResNet,22,27,2018
ResNet,16,3,2018
ResNet,5,5,2018
ResNet,45,48,2018
ResNet,6,0,2018
ResNet,30,0,2018
ResNet,17,0,2018
ResNet,14,0,2018
ResNet,23,3,2018
ResNet,21,0,2018
ResNet,52,60,2018
ResNet,21,0,2018
ResNet,34,9,2018
ResNet,20,3,2018
ResNet,20,8,2018
ResNet,19,31,2018
ResNet,20,2,2018
ResNet,24,0,2018
ResNet,31,24,2018
ResNet,7,0,2018
ResNet,33,14,2018
ResNet,16,12,2018
ResNet,13,9,2018
ResNet,35,0,2018
ResNet,21,6,2018
ResNet,17,1,2018
ResNet,23,40,2018
ResNet,21,7,2018
ResNet,28,2,2018
ResNet,35,11,2018
ResNet,31,0,2018
ResNet,33,6,2018
ResNet,14,0,2018
ResNet,27,0,2018
ResNet,19,6,2018
ResNet,18,2,2018
ResNet,22,2,2018
ResNet,26,186,2018
ResNet,79,93,2018
ResNet,27,40,2018
ResNet,50,175,2018
ResNet,31,4,2018
ResNet,35,42,2018
ResNet,26,7,2018
ResNet,37,47,2018
ResNet,42,188,2018
ResNet,36,24,2018
ResNet,57,154,2018
ResNet,23,5,2018
ResNet,22,0,2018
ResNet,33,107,2018
ResNet,58,29,2018
ResNet,56,82,2018
ResNet,39,13,2018
ResNet,34,17,2018
ResNet,43,67,2018
ResNet,32,156,2018
ResNet,32,22,2018
ResNet,41,6,2018
ResNet,47,7,2018
ResNet,39,24,2018
ResNet,43,9,2018
ResNet,41,21,2018
ResNet,55,161,2018
ResNet,37,627,2018
ResNet,33,4,2018
ResNet,61,508,2018
ResNet,52,15,2018
ResNet,30,5,2018
ResNet,37,13,2018
ResNet,26,12,2018
ResNet,24,0,2018
ResNet,29,0,2018
ResNet,16,0,2018
ResNet,15,0,2018
ResNet,30,8,2018
ResNet,23,18,2018
ResNet,12,32,2018
ResNet,22,19,2018
ResNet,16,31,2018
ResNet,38,1,2018
ResNet,23,5,2018
ResNet,23,0,2018
ResNet,16,0,2018
ResNet,33,9,2018
ResNet,53,90,2018
ResNet,51,78,2018
ResNet,39,7,2018
ResNet,41,37,2018
ResNet,14,2,2018
