Model,Cited Reference Count,"Times Cited, All Databases",Publication Year
ResNet,19,0,2021
ResNet,23,0,2021
ResNet,34,0,2021
ResNet,51,0,2021
ResNet,30,0,2021
ResNet,50,0,2021
ResNet,23,1,2021
ResNet,31,0,2021
ResNet,33,0,2021
ResNet,42,1,2021
ResNet,20,0,2021
ResNet,66,0,2021
ResNet,30,0,2021
ResNet,36,0,2021
ResNet,27,0,2021
ResNet,43,0,2021
ResNet,31,0,2021
ResNet,49,0,2021
ResNet,30,0,2021
ResNet,30,0,2021
ResNet,17,1,2021
ResNet,26,0,2021
ResNet,33,0,2021
ResNet,27,0,2021
ResNet,31,1,2021
ResNet,57,4,2021
ResNet,100,2,2021
ResNet,57,5,2021
ResNet,24,2,2021
ResNet,15,0,2021
ResNet,30,0,2021
ResNet,53,0,2021
ResNet,59,0,2021
ResNet,58,0,2021
ResNet,57,0,2021
ResNet,23,0,2021
ResNet,20,2,2021
ResNet,16,0,2021
ResNet,20,0,2021
ResNet,10,1,2021
ResNet,29,8,2021
ResNet,21,1,2021
ResNet,74,4,2021
ResNet,26,0,2021
ResNet,37,1,2021
ResNet,24,0,2021
ResNet,69,2,2021
ResNet,49,2,2021
ResNet,50,0,2021
ResNet,23,0,2021
ResNet,42,5,2021
ResNet,53,1,2021
ResNet,19,0,2021
ResNet,17,0,2021
ResNet,9,0,2021
ResNet,9,0,2021
ResNet,54,0,2021
ResNet,34,0,2021
ResNet,39,0,2021
ResNet,36,0,2021
ResNet,9,2,2021
ResNet,37,0,2021
ResNet,18,0,2021
ResNet,26,1,2021
ResNet,23,0,2021
ResNet,46,0,2021
ResNet,65,1,2021
ResNet,42,1,2021
ResNet,39,1,2021
ResNet,22,1,2021
ResNet,39,1,2021
ResNet,9,0,2021
ResNet,91,2,2021
ResNet,10,0,2021
ResNet,14,2,2021
ResNet,36,0,2021
ResNet,39,0,2021
ResNet,37,3,2021
ResNet,72,2,2021
ResNet,33,1,2021
ResNet,42,0,2021
ResNet,87,5,2021
ResNet,60,0,2021
ResNet,65,1,2021
ResNet,30,0,2021
ResNet,16,0,2021
ResNet,31,0,2021
ResNet,59,2,2021
ResNet,62,0,2021
ResNet,18,2,2021
ResNet,22,2,2021
ResNet,20,0,2021
ResNet,24,0,2021
ResNet,20,0,2021
ResNet,26,4,2021
ResNet,25,1,2021
ResNet,25,0,2021
ResNet,32,0,2021
ResNet,30,0,2021
ResNet,20,8,2021
ResNet,25,14,2021
ResNet,19,1,2021
ResNet,26,1,2021
ResNet,30,0,2021
ResNet,36,8,2021
ResNet,26,5,2021
ResNet,24,0,2021
ResNet,60,1,2021
ResNet,34,0,2021
ResNet,18,0,2021
ResNet,15,0,2021
ResNet,33,0,2021
ResNet,11,0,2021
ResNet,20,11,2021
ResNet,40,0,2021
ResNet,28,3,2021
ResNet,36,0,2021
ResNet,35,2,2021
ResNet,40,0,2021
ResNet,32,0,2021
ResNet,31,0,2021
ResNet,41,1,2021
ResNet,32,0,2021
ResNet,56,1,2021
ResNet,17,0,2021
ResNet,25,0,2021
ResNet,35,12,2021
ResNet,53,3,2021
ResNet,38,0,2021
ResNet,37,1,2021
ResNet,33,0,2021
ResNet,22,0,2021
ResNet,19,0,2021
ResNet,32,0,2021
ResNet,26,0,2021
ResNet,16,0,2021
ResNet,28,0,2021
ResNet,8,0,2021
ResNet,10,1,2021
ResNet,13,0,2021
ResNet,133,2,2021
ResNet,44,0,2021
ResNet,31,0,2021
ResNet,27,1,2021
ResNet,0,2,2021
ResNet,30,1,2021
ResNet,15,0,2021
ResNet,21,0,2021
ResNet,17,2,2021
ResNet,24,6,2021
ResNet,33,1,2021
ResNet,21,0,2021
ResNet,27,0,2021
ResNet,46,0,2021
ResNet,57,3,2021
ResNet,49,0,2021
ResNet,33,7,2021
ResNet,38,7,2021
ResNet,13,0,2021
ResNet,50,4,2021
ResNet,51,1,2021
ResNet,60,4,2021
ResNet,31,1,2021
ResNet,30,0,2021
ResNet,48,0,2021
ResNet,25,3,2021
ResNet,32,0,2021
ResNet,18,0,2021
ResNet,36,1,2021
ResNet,107,1,2021
ResNet,34,0,2021
ResNet,28,0,2021
ResNet,27,0,2021
ResNet,30,0,2021
ResNet,24,0,2021
ResNet,58,0,2021
ResNet,14,0,2021
ResNet,9,1,2021
ResNet,37,5,2021
ResNet,72,1,2021
ResNet,29,3,2021
ResNet,31,1,2021
ResNet,19,0,2021
ResNet,41,0,2021
ResNet,36,2,2021
ResNet,13,0,2021
ResNet,25,2,2021
ResNet,17,0,2021
ResNet,29,2,2021
ResNet,19,0,2021
ResNet,12,1,2021
ResNet,13,0,2021
ResNet,27,1,2021
ResNet,51,1,2021
ResNet,75,7,2021
ResNet,31,3,2021
ResNet,33,2,2021
ResNet,25,5,2021
ResNet,44,0,2021
ResNet,17,0,2021
ResNet,27,0,2021
ResNet,45,10,2021
ResNet,28,0,2021
ResNet,26,2,2021
ResNet,60,0,2021
ResNet,60,3,2021
ResNet,51,0,2021
ResNet,72,0,2021
ResNet,4,0,2021
ResNet,28,0,2021
ResNet,26,0,2021
ResNet,37,0,2021
ResNet,65,1,2021
ResNet,64,1,2021
ResNet,28,2,2021
ResNet,52,1,2021
ResNet,44,0,2021
ResNet,6,0,2021
ResNet,12,0,2021
ResNet,33,3,2021
ResNet,41,0,2021
ResNet,10,0,2021
ResNet,14,0,2021
ResNet,19,8,2021
ResNet,6,0,2021
ResNet,27,0,2021
ResNet,53,0,2021
ResNet,40,2,2021
ResNet,23,0,2021
ResNet,20,0,2021
ResNet,22,1,2021
ResNet,15,1,2021
ResNet,42,3,2021
ResNet,28,0,2021
ResNet,49,0,2021
ResNet,35,0,2021
ResNet,39,0,2021
ResNet,22,2,2021
ResNet,37,1,2021
ResNet,49,7,2021
ResNet,28,1,2021
ResNet,26,1,2021
ResNet,37,0,2021
ResNet,34,0,2021
ResNet,25,0,2021
ResNet,24,1,2021
ResNet,33,14,2021
ResNet,34,2,2021
ResNet,26,0,2021
ResNet,8,1,2021
ResNet,34,14,2021
ResNet,45,2,2021
ResNet,44,5,2021
ResNet,88,1,2021
ResNet,42,1,2021
ResNet,29,7,2021
ResNet,66,0,2021
ResNet,33,1,2021
ResNet,47,0,2021
ResNet,32,1,2021
ResNet,43,0,2021
ResNet,59,0,2021
ResNet,30,0,2021
ResNet,34,3,2021
ResNet,34,0,2021
ResNet,38,1,2021
ResNet,33,2,2021
ResNet,47,2,2021
ResNet,35,0,2021
ResNet,95,1,2021
ResNet,20,3,2021
ResNet,37,0,2021
ResNet,70,0,2021
ResNet,68,0,2021
ResNet,16,0,2021
ResNet,18,4,2021
ResNet,18,0,2021
ResNet,61,2,2021
ResNet,33,5,2021
ResNet,64,3,2021
ResNet,21,2,2021
ResNet,29,3,2021
ResNet,39,0,2021
ResNet,46,0,2021
ResNet,28,0,2021
ResNet,44,1,2021
ResNet,31,0,2021
ResNet,27,0,2021
ResNet,41,2,2021
ResNet,36,1,2021
ResNet,44,3,2021
ResNet,25,0,2021
ResNet,35,0,2021
ResNet,26,0,2021
ResNet,30,2,2021
ResNet,21,4,2021
ResNet,23,1,2021
ResNet,41,9,2021
ResNet,35,0,2021
ResNet,25,0,2021
ResNet,19,0,2021
ResNet,16,0,2021
ResNet,22,0,2021
ResNet,34,2,2021
ResNet,41,1,2021
ResNet,35,1,2021
ResNet,41,1,2021
ResNet,39,5,2021
ResNet,15,0,2021
ResNet,9,0,2021
ResNet,24,0,2021
ResNet,53,0,2021
ResNet,18,1,2021
ResNet,16,0,2021
ResNet,26,0,2021
ResNet,16,0,2021
ResNet,40,7,2021
ResNet,11,1,2021
ResNet,44,0,2021
ResNet,38,0,2021
ResNet,44,0,2021
ResNet,46,0,2021
ResNet,22,0,2021
ResNet,22,1,2021
ResNet,7,0,2021
ResNet,18,1,2021
ResNet,11,1,2021
ResNet,21,1,2021
ResNet,20,0,2021
ResNet,15,0,2021
ResNet,37,1,2021
ResNet,23,1,2021
ResNet,14,0,2021
ResNet,11,0,2021
ResNet,13,1,2021
ResNet,22,4,2021
ResNet,23,1,2021
ResNet,30,0,2021
ResNet,14,1,2021
ResNet,1,3,2021
ResNet,16,0,2021
ResNet,45,0,2021
ResNet,16,3,2021
ResNet,32,11,2021
ResNet,34,1,2021
ResNet,22,2,2021
ResNet,9,3,2021
ResNet,18,0,2021
ResNet,14,2,2021
ResNet,17,1,2021
ResNet,17,0,2021
ResNet,21,3,2021
ResNet,11,0,2021
ResNet,14,2,2021
ResNet,18,3,2021
ResNet,19,4,2021
ResNet,12,0,2021
ResNet,17,1,2021
ResNet,26,0,2021
ResNet,16,0,2021
ResNet,22,0,2021
ResNet,54,3,2021
ResNet,13,0,2021
ResNet,10,0,2021
ResNet,21,0,2021
ResNet,32,0,2021
ResNet,45,2,2021
ResNet,23,0,2021
ResNet,43,0,2021
ResNet,25,0,2021
ResNet,31,8,2021
ResNet,39,2,2021
ResNet,33,2,2021
ResNet,48,1,2021
ResNet,10,0,2021
ResNet,33,1,2021
ResNet,31,7,2021
ResNet,30,2,2021
ResNet,36,1,2021
ResNet,45,4,2021
ResNet,65,4,2021
ResNet,56,7,2021
ResNet,64,0,2021
ResNet,34,0,2021
ResNet,13,0,2021
ResNet,15,1,2021
ResNet,10,0,2021
ResNet,21,0,2021
ResNet,24,0,2021
ResNet,13,0,2021
ResNet,15,0,2021
ResNet,25,0,2021
ResNet,8,1,2021
ResNet,9,3,2021
ResNet,40,0,2021
ResNet,43,12,2021
ResNet,48,0,2021
ResNet,44,1,2021
ResNet,42,1,2021
ResNet,33,0,2021
ResNet,55,0,2021
ResNet,47,0,2021
ResNet,17,0,2021
ResNet,27,0,2021
ResNet,42,0,2021
ResNet,55,1,2021
ResNet,32,4,2021
ResNet,32,4,2021
ResNet,41,1,2021
ResNet,41,2,2021
ResNet,31,0,2021
ResNet,34,0,2021
ResNet,36,4,2021
ResNet,43,2,2021
ResNet,27,9,2021
ResNet,34,5,2021
ResNet,16,0,2021
ResNet,60,3,2021
ResNet,8,0,2021
ResNet,12,0,2021
ResNet,23,0,2021
ResNet,9,0,2021
ResNet,22,0,2021
ResNet,47,0,2021
ResNet,51,0,2021
ResNet,62,4,2021
ResNet,8,0,2021
ResNet,5,0,2021
ResNet,11,11,2021
ResNet,10,0,2021
ResNet,29,1,2021
ResNet,25,0,2021
ResNet,49,1,2021
ResNet,6,3,2021
ResNet,45,5,2021
ResNet,12,4,2021
ResNet,37,0,2021
ResNet,42,0,2021
ResNet,24,3,2021
ResNet,91,4,2021
ResNet,20,11,2021
ResNet,33,5,2021
ResNet,34,0,2021
ResNet,38,0,2021
ResNet,39,2,2021
ResNet,27,1,2021
ResNet,24,0,2021
ResNet,29,0,2021
ResNet,44,1,2021
ResNet,43,1,2021
ResNet,41,1,2021
ResNet,60,3,2021
ResNet,16,0,2021
ResNet,21,0,2021
ResNet,21,4,2021
ResNet,14,3,2021
ResNet,27,28,2021
ResNet,28,2,2021
ResNet,55,2,2021
ResNet,121,34,2021
ResNet,46,2,2021
ResNet,39,2,2021
ResNet,41,4,2021
ResNet,52,11,2021
ResNet,29,0,2021
ResNet,37,1,2021
ResNet,40,19,2021
ResNet,53,0,2021
ResNet,38,7,2021
ResNet,64,4,2021
ResNet,42,0,2021
ResNet,47,14,2021
ResNet,33,1,2021
ResNet,24,1,2021
ResNet,9,2,2021
ResNet,29,0,2021
ResNet,83,1,2021
ResNet,92,2,2021
ResNet,55,3,2021
ResNet,28,3,2021
ResNet,43,10,2021
ResNet,33,3,2021
ResNet,18,2,2021
ResNet,45,10,2021
ResNet,26,3,2021
ResNet,26,6,2021
ResNet,49,1,2021
ResNet,43,6,2021
ResNet,35,3,2021
ResNet,46,1,2021
ResNet,33,0,2021
ResNet,44,5,2021
ResNet,48,1,2021
ResNet,37,2,2021
ResNet,38,3,2021
ResNet,36,2,2021
ResNet,44,13,2021
ResNet,46,0,2021
ResNet,66,2,2021
ResNet,28,2,2021
ResNet,58,3,2021
ResNet,39,10,2021
ResNet,35,4,2021
ResNet,44,7,2021
ResNet,39,5,2021
ResNet,55,6,2021
ResNet,36,4,2021
ResNet,52,1,2021
ResNet,38,3,2021
ResNet,31,6,2021
ResNet,70,8,2021
ResNet,30,0,2021
ResNet,26,23,2021
ResNet,37,5,2021
ResNet,25,2,2021
ResNet,52,13,2021
ResNet,54,4,2021
ResNet,15,0,2021
ResNet,29,5,2021
ResNet,41,0,2021
ResNet,22,2,2021
ResNet,40,4,2021
ResNet,62,37,2021
ResNet,13,0,2021
ResNet,122,30,2021
ResNet,58,1,2021
ResNet,68,6,2021
ResNet,67,8,2021
ResNet,56,2,2021
ResNet,33,2,2021
ResNet,25,5,2021
ResNet,31,11,2021
ResNet,42,7,2021
ResNet,48,7,2021
ResNet,40,5,2021
ResNet,34,0,2021
ResNet,64,3,2021
ResNet,44,7,2021
ResNet,65,3,2021
ResNet,10,0,2021
ResNet,57,7,2021
ResNet,50,4,2021
ResNet,57,11,2021
ResNet,31,0,2021
ResNet,53,5,2021
ResNet,42,0,2021
ResNet,49,12,2021
ResNet,38,1,2021
ResNet,32,1,2021
ResNet,25,2,2021
ResNet,50,3,2021
ResNet,30,7,2021
ResNet,33,3,2021
ResNet,26,3,2021
ResNet,48,1,2021
ResNet,28,1,2021
ResNet,72,8,2021
ResNet,47,31,2021
ResNet,27,10,2021
ResNet,58,55,2021
ResNet,32,0,2021
ResNet,35,7,2021
ResNet,43,0,2021
ResNet,23,1,2021
ResNet,10,4,2021
ResNet,58,5,2021
ResNet,35,18,2021
ResNet,40,3,2021
ResNet,46,26,2021
ResNet,73,28,2021
ResNet,43,8,2021
ResNet,53,13,2021
ResNet,43,5,2021
ResNet,37,5,2021
ResNet,24,8,2021
ResNet,26,3,2021
ResNet,44,3,2021
ResNet,37,5,2021
ResNet,19,7,2021
ResNet,31,11,2021
ResNet,40,3,2021
ResNet,36,7,2021
ResNet,22,15,2021
ResNet,33,74,2021
ResNet,44,17,2021
ResNet,39,3,2021
ResNet,29,5,2021
ResNet,35,18,2021
ResNet,35,7,2021
ResNet,82,9,2021
ResNet,34,29,2021
ResNet,64,12,2021
ResNet,42,5,2021
ResNet,61,23,2021
ResNet,35,7,2021
ResNet,55,3,2021
ResNet,21,27,2021
ResNet,38,17,2021
ResNet,58,9,2021
ResNet,38,13,2021
ResNet,31,20,2021
ResNet,28,17,2021
ResNet,68,0,2021
ResNet,52,2,2021
ResNet,65,0,2022
ResNet,56,7,2021
ResNet,217,0,2021
ResNet,110,14,2021
ResNet,56,3,2021
ResNet,54,6,2021
ResNet,34,3,2021
ResNet,41,0,2022
ResNet,57,0,2022
ResNet,42,8,2021
ResNet,49,3,2021
ResNet,48,8,2021
ResNet,46,4,2021
ResNet,36,16,2021
ResNet,34,16,2021
ResNet,20,1,2021
ResNet,87,0,2021
ResNet,19,3,2022
ResNet,38,3,2021
ResNet,35,5,2021
ResNet,42,2,2021
ResNet,65,7,2022
ResNet,32,3,2021
ResNet,34,2,2021
ResNet,12,0,2021
ResNet,38,15,2021
ResNet,33,2,2021
ResNet,62,4,2021
ResNet,101,11,2021
ResNet,42,3,2021
ResNet,33,25,2021
ResNet,50,18,2021
ResNet,33,0,2021
ResNet,34,4,2021
ResNet,45,1,2021
ResNet,42,0,2021
ResNet,44,20,2022
ResNet,37,5,2021
ResNet,57,20,2021
ResNet,32,18,2021
ResNet,33,1,2021
ResNet,72,5,2021
ResNet,31,6,2021
ResNet,37,55,2021
ResNet,19,34,2021
ResNet,41,5,2021
ResNet,55,27,2021
ResNet,67,3,2021
ResNet,25,3,2021
ResNet,28,11,2021
ResNet,20,2,2021
ResNet,48,1,2021
ResNet,21,13,2021
ResNet,60,16,2021
ResNet,34,6,2021
ResNet,58,3,2021
ResNet,31,2,2022
ResNet,73,15,2021
ResNet,59,1,2021
ResNet,59,33,2021
ResNet,28,3,2021
ResNet,44,1,2021
ResNet,30,26,2021
ResNet,20,2,2021
ResNet,36,4,2021
ResNet,52,4,2021
ResNet,73,4,2021
ResNet,57,0,2021
ResNet,47,18,2021
ResNet,60,13,2021
ResNet,94,27,2021
ResNet,26,0,2021
ResNet,68,623,2021
ResNet,52,1,2021
ResNet,15,0,2021
ResNet,27,3,2021
ResNet,48,1,2021
ResNet,57,2,2021
ResNet,94,0,2021
ResNet,22,9,2021
ResNet,25,6,2021
ResNet,12,1,2021
ResNet,24,1,2021
ResNet,34,5,2021
ResNet,30,24,2021
ResNet,30,10,2021
ResNet,37,6,2021
ResNet,49,5,2021
ResNet,47,4,2021
ResNet,61,17,2021
ResNet,46,12,2021
ResNet,41,5,2021
ResNet,22,0,2021
ResNet,43,3,2021
ResNet,38,11,2021
ResNet,20,7,2021
ResNet,17,0,2021
ResNet,42,8,2021
ResNet,37,5,2021
ResNet,15,2,2021
ResNet,19,1,2021
ResNet,49,16,2021
ResNet,38,13,2021
ResNet,31,8,2021
ResNet,26,9,2021
ResNet,41,17,2021
ResNet,48,4,2021
ResNet,56,4,2021
ResNet,35,4,2021
ResNet,28,62,2021
ResNet,20,2,2021
ResNet,44,10,2021
ResNet,18,0,2021
ResNet,40,15,2021
ResNet,52,11,2021
ResNet,31,12,2021
ResNet,30,2,2021
ResNet,58,19,2021
ResNet,29,13,2021
ResNet,33,42,2021
ResNet,71,26,2021
ResNet,46,94,2021
ResNet,61,8,2021
ResNet,43,15,2021
ResNet,42,14,2021
ResNet,38,2,2021
ResNet,34,3,2021
ResNet,62,4,2021
ResNet,26,0,2021
ResNet,38,0,2021
ResNet,29,0,2021
ResNet,46,22,2021
ResNet,76,23,2021
ResNet,28,8,2021
ResNet,22,5,2021
ResNet,61,3,2021
ResNet,42,5,2021
ResNet,39,3,2021
ResNet,48,5,2021
ResNet,39,1,2022
ResNet,28,6,2021
ResNet,28,0,2021
ResNet,32,4,2021
ResNet,31,6,2022
ResNet,70,6,2022
ResNet,44,3,2021
ResNet,50,22,2021
ResNet,29,0,2021
ResNet,46,7,2021
ResNet,24,4,2021
ResNet,49,6,2021
ResNet,34,8,2021
ResNet,84,10,2021
ResNet,45,6,2021
ResNet,47,12,2021
ResNet,19,5,2021
ResNet,46,18,2021
ResNet,32,9,2021
ResNet,47,1,2021
ResNet,30,9,2021
ResNet,38,3,2021
ResNet,57,11,2021
ResNet,39,9,2021
ResNet,14,3,2021
ResNet,42,11,2021
ResNet,15,1,2021
ResNet,28,0,2021
ResNet,28,7,2021
ResNet,35,7,2021
ResNet,29,6,2022
ResNet,44,1,2021
ResNet,25,21,2022
ResNet,32,3,2021
ResNet,63,3,2021
ResNet,41,7,2021
ResNet,57,1,2021
ResNet,36,2,2021
ResNet,43,3,2021
ResNet,73,3,2021
ResNet,47,23,2021
ResNet,36,12,2021
ResNet,41,20,2021
ResNet,32,1,2021
ResNet,39,1,2021
ResNet,51,4,2021
ResNet,29,16,2021
ResNet,41,1,2021
ResNet,59,10,2021
ResNet,48,25,2021
ResNet,21,0,2021
ResNet,46,2,2021
ResNet,53,7,2021
ResNet,44,0,2021
ResNet,55,1,2021
ResNet,31,15,2021
ResNet,55,7,2021
ResNet,48,4,2021
ResNet,50,3,2021
ResNet,33,0,2021
ResNet,61,12,2021
ResNet,50,12,2021
ResNet,37,4,2021
ResNet,54,3,2021
ResNet,88,8,2021
ResNet,38,1,2021
ResNet,44,3,2021
ResNet,50,6,2021
ResNet,31,3,2021
ResNet,44,9,2021
ResNet,37,3,2021
ResNet,33,16,2021
ResNet,40,10,2021
ResNet,43,19,2021
ResNet,54,1,2021
ResNet,34,4,2021
ResNet,41,3,2021
ResNet,50,19,2021
ResNet,25,7,2021
ResNet,59,23,2021
ResNet,30,5,2021
ResNet,39,3,2021
ResNet,53,5,2021
ResNet,55,12,2021
ResNet,18,4,2021
ResNet,66,21,2021
ResNet,31,0,2021
ResNet,34,5,2021
ResNet,57,10,2021
ResNet,52,9,2021
ResNet,25,4,2021
ResNet,62,16,2021
ResNet,26,3,2021
ResNet,30,9,2021
ResNet,32,17,2021
ResNet,42,7,2021
ResNet,47,10,2022
ResNet,56,10,2021
ResNet,36,5,2021
ResNet,32,5,2021
ResNet,30,2,2021
ResNet,27,3,2021
ResNet,128,16,2021
ResNet,70,0,2021
ResNet,28,1,2021
ResNet,87,9,2021
ResNet,36,3,2021
ResNet,35,5,2021
ResNet,32,6,2021
ResNet,41,5,2021
ResNet,46,1,2021
ResNet,42,8,2021
ResNet,68,3,2021
ResNet,53,14,2021
ResNet,28,2,2021
ResNet,19,25,2021
ResNet,58,4,2021
ResNet,40,6,2021
ResNet,76,4,2021
ResNet,59,5,2021
ResNet,43,8,2021
ResNet,35,3,2021
ResNet,31,5,2021
ResNet,24,4,2021
ResNet,39,2,2022
ResNet,18,6,2022
ResNet,59,6,2021
ResNet,67,4,2022
ResNet,32,9,2021
ResNet,84,3,2021
ResNet,27,1,2021
ResNet,49,1,2021
ResNet,38,0,2021
ResNet,34,0,2021
ResNet,40,4,2021
ResNet,37,26,2021
ResNet,37,0,2021
ResNet,70,2,2021
ResNet,57,17,2021
ResNet,35,0,2021
ResNet,63,0,2021
ResNet,91,19,2021
ResNet,58,11,2021
ResNet,27,10,2021
ResNet,51,5,2021
ResNet,56,14,2021
ResNet,33,3,2022
ResNet,24,4,2021
ResNet,39,3,2021
ResNet,49,1,2021
ResNet,20,3,2021
ResNet,37,30,2021
ResNet,33,16,2021
ResNet,49,12,2021
ResNet,50,5,2021
ResNet,46,7,2021
ResNet,42,8,2021
ResNet,68,7,2022
ResNet,40,1,2021
ResNet,19,0,2021
ResNet,43,0,2021
ResNet,38,4,2021
ResNet,22,1,2021
ResNet,60,2,2021
ResNet,33,0,2021
ResNet,43,13,2021
ResNet,46,1,2021
ResNet,51,0,2021
ResNet,50,3,2021
ResNet,41,4,2021
ResNet,16,0,2021
ResNet,34,42,2021
ResNet,31,3,2021
ResNet,38,0,2021
ResNet,14,3,2021
ResNet,29,0,2021
ResNet,22,3,2021
ResNet,64,9,2021
ResNet,32,0,2021
ResNet,44,4,2021
ResNet,35,3,2021
ResNet,52,1,2021
ResNet,30,5,2021
ResNet,18,4,2021
ResNet,22,2,2021
ResNet,52,1,2021
ResNet,32,5,2021
ResNet,27,0,2021
ResNet,33,13,2021
ResNet,42,0,2021
ResNet,29,3,2021
ResNet,45,10,2021
ResNet,46,22,2021
ResNet,29,13,2021
ResNet,35,6,2021
ResNet,28,5,2021
ResNet,42,1,2021
ResNet,42,4,2021
ResNet,69,18,2021
ResNet,50,3,2021
ResNet,47,14,2021
ResNet,34,5,2021
ResNet,34,1,2021
ResNet,34,3,2021
ResNet,74,7,2021
ResNet,34,9,2021
ResNet,45,1,2021
ResNet,60,9,2021
ResNet,39,2,2021
ResNet,34,6,2021
ResNet,53,22,2021
ResNet,73,0,2021
ResNet,27,9,2021
ResNet,44,0,2021
ResNet,57,6,2021
ResNet,37,4,2021
ResNet,50,3,2021
ResNet,39,6,2021
ResNet,45,1,2021
ResNet,35,5,2021
ResNet,25,6,2022
ResNet,36,0,2021
ResNet,183,20,2021
ResNet,27,0,2021
ResNet,49,21,2021
ResNet,44,6,2021
ResNet,42,3,2021
ResNet,40,29,2021
ResNet,27,52,2021
ResNet,50,4,2021
ResNet,56,0,2021
ResNet,38,19,2021
ResNet,74,18,2021
ResNet,37,10,2021
ResNet,63,6,2021
ResNet,38,9,2021
ResNet,41,0,2022
ResNet,39,5,2021
ResNet,15,0,2021
ResNet,39,0,2021
ResNet,50,4,2021
ResNet,29,4,2021
ResNet,43,3,2021
ResNet,32,1,2022
ResNet,72,7,2021
ResNet,24,9,2021
ResNet,28,4,2021
ResNet,19,0,2021
ResNet,41,0,2021
ResNet,36,0,2021
ResNet,13,2,2021
ResNet,102,12,2021
ResNet,31,3,2021
ResNet,37,2,2021
ResNet,66,0,2021
ResNet,62,22,2021
ResNet,77,2,2021
ResNet,19,1,2021
ResNet,59,43,2021
ResNet,78,0,2021
ResNet,33,0,2021
ResNet,52,21,2021
ResNet,44,0,2021
ResNet,56,9,2021
ResNet,50,5,2021
ResNet,64,1,2021
ResNet,43,2,2021
ResNet,30,1,2021
ResNet,33,1,2021
ResNet,33,1,2021
ResNet,45,23,2021
ResNet,78,19,2021
ResNet,31,5,2021
ResNet,53,7,2021
ResNet,45,2,2021
ResNet,67,1,2021
ResNet,62,5,2021
ResNet,26,0,2021
ResNet,45,11,2021
ResNet,40,0,2021
ResNet,19,2,2021
ResNet,24,2,2021
ResNet,14,0,2021
ResNet,48,11,2021
ResNet,26,2,2021
ResNet,34,8,2021
ResNet,51,4,2021
ResNet,53,3,2021
ResNet,43,1,2021
ResNet,28,8,2021
ResNet,46,7,2022
ResNet,32,8,2022
ResNet,51,0,2021
ResNet,39,12,2021
ResNet,49,2,2021
ResNet,34,10,2022
ResNet,21,0,2021
ResNet,56,10,2021
ResNet,48,7,2021
ResNet,62,3,2022
ResNet,48,4,2021
ResNet,51,7,2021
ResNet,174,24,2021
ResNet,36,6,2021
ResNet,40,17,2021
ResNet,40,31,2021
ResNet,45,5,2021
ResNet,35,0,2021
ResNet,54,19,2021
ResNet,70,5,2021
ResNet,39,6,2021
ResNet,63,0,2022
ResNet,30,0,2021
ResNet,25,4,2021
ResNet,74,7,2021
ResNet,29,3,2021
ResNet,68,4,2021
ResNet,55,1,2021
ResNet,34,0,2021
ResNet,33,3,2021
ResNet,32,1,2021
ResNet,23,6,2021
ResNet,39,12,2021
ResNet,44,6,2021
ResNet,31,0,2021
ResNet,47,21,2021
ResNet,43,1,2022
ResNet,46,10,2021
ResNet,37,3,2021
ResNet,28,2,2021
ResNet,32,3,2022
ResNet,71,3,2021
ResNet,44,51,2021
ResNet,31,2,2021
ResNet,43,2,2022
ResNet,33,2,2021
ResNet,37,0,2021
ResNet,37,1,2021
ResNet,22,8,2022
ResNet,31,5,2021
ResNet,25,0,2021
ResNet,39,5,2021
ResNet,48,1,2021
ResNet,42,2,2021
ResNet,31,4,2021
ResNet,35,4,2021
ResNet,26,0,2021
ResNet,23,2,2021
ResNet,24,0,2021
ResNet,70,9,2021
ResNet,47,3,2021
ResNet,45,0,2021
ResNet,52,0,2021
ResNet,36,6,2021
ResNet,67,5,2021
ResNet,43,10,2021
ResNet,38,4,2021
ResNet,21,2,2021
ResNet,35,1,2021
ResNet,67,9,2021
ResNet,87,2,2021
ResNet,44,13,2021
ResNet,38,3,2021
ResNet,36,1,2021
ResNet,39,4,2021
ResNet,37,2,2021
ResNet,45,3,2021
ResNet,33,21,2021
ResNet,30,2,2021
ResNet,32,6,2021
ResNet,75,17,2021
ResNet,55,6,2021
ResNet,67,0,2021
ResNet,45,6,2021
ResNet,36,3,2021
ResNet,23,1,2021
ResNet,9,0,2021
ResNet,44,1,2021
ResNet,25,4,2021
ResNet,43,3,2021
ResNet,34,1,2021
ResNet,10,2,2021
ResNet,36,2,2021
ResNet,32,1,2021
ResNet,30,4,2021
ResNet,28,5,2021
ResNet,62,0,2021
ResNet,37,2,2021
ResNet,47,5,2021
ResNet,72,9,2021
ResNet,68,15,2021
ResNet,46,2,2021
ResNet,37,16,2021
ResNet,45,0,2022
ResNet,46,0,2021
ResNet,32,3,2021
ResNet,47,1,2021
ResNet,95,1,2022
ResNet,22,3,2021
ResNet,38,1,2021
ResNet,32,5,2021
ResNet,43,6,2021
ResNet,14,4,2021
ResNet,47,8,2022
ResNet,43,7,2021
ResNet,50,2,2021
ResNet,54,7,2021
ResNet,54,1,2021
ResNet,43,1,2021
ResNet,45,6,2021
ResNet,61,4,2021
ResNet,41,3,2021
ResNet,44,5,2021
ResNet,43,1,2021
ResNet,45,6,2022
ResNet,29,0,2021
ResNet,51,3,2021
ResNet,49,4,2021
ResNet,36,19,2021
ResNet,46,11,2021
ResNet,56,49,2021
